Wall time,Step,Value
1538541022.2441669,0,0.23564130067825317
1538541030.4389656,1,0.16826868057250977
1538541038.496225,2,0.15013977885246277
1538541046.487041,3,0.1397538036108017
1538541054.5330667,4,0.13397608697414398
1538541062.6541238,5,0.12936753034591675
1538541070.7142422,6,0.1261139214038849
1538541078.9027197,7,0.12377666682004929
1538541087.0894568,8,0.1213298961520195
1538541095.273466,9,0.1194305568933487
1538541103.4553251,10,0.1176784485578537
1538541111.5641432,11,0.11614403128623962
1538541119.6561189,12,0.11503040045499802
1538541127.9768877,13,0.11383146047592163
1538541135.996576,14,0.11312262713909149
1538541144.637125,15,0.11180107295513153
1538541152.5904305,16,0.11098814755678177
1538541160.473941,17,0.11017166823148727
1538541168.7002347,18,0.1096738874912262
1538541176.9668643,19,0.10906203091144562
1538541185.2651823,20,0.10848253965377808
1538541193.2638817,21,0.10816194117069244
1538541201.3318496,22,0.10756824165582657
1538541211.4837077,23,0.1070714145898819
1538541220.4310489,24,0.10676838457584381
1538541228.830438,25,0.10647465288639069
1538541237.458441,26,0.10597405582666397
1538541245.6714377,27,0.10563163459300995
1538541253.6934714,28,0.10550487041473389
1538541261.7265348,29,0.10489746928215027
1538541269.8145592,30,0.10449773073196411
1538541277.7767215,31,0.10419764369726181
1538541285.7538943,32,0.10387624800205231
1538541293.8101575,33,0.10348360985517502
1538541301.8898146,34,0.1033046543598175
1538541309.984064,35,0.10323963314294815
1538541317.976832,36,0.10259183496236801
1538541326.0072932,37,0.1027129739522934
1538541334.0593147,38,0.10257609188556671
1538541342.1820333,39,0.10211364179849625
1538541350.3079462,40,0.10178257524967194
1538541358.4448774,41,0.10166642814874649
1538541366.8420782,42,0.101698137819767
1538541374.981931,43,0.10148932784795761
1538541383.2398345,44,0.10103411227464676
1538541391.4173687,45,0.10106393694877625
1538541399.5586815,46,0.10109709203243256
1538541407.849579,47,0.10081592947244644
1538541415.9876785,48,0.10071291029453278
1538541424.2379556,49,0.10063601285219193
1538542339.3026798,0,0.10018213093280792
1538542347.8743618,1,0.09996918588876724
1538542357.6988328,2,0.09983620792627335
1538542365.9447682,3,0.09983913600444794
1538542374.1472266,4,0.09952269494533539
1538542382.2411318,5,0.09932295978069305
1538542390.4670596,6,0.09905686229467392
1538542398.6260552,7,0.09919234365224838
1538542406.8473232,8,0.09909005463123322
1538542415.003033,9,0.09898500889539719
1538542423.2422974,10,0.09862713515758514
1538542431.4978163,11,0.09860610961914062
1538542439.7018616,12,0.09834568947553635
1538542447.9853733,13,0.0982050746679306
1538542456.2020483,14,0.09810876101255417
1538542464.40939,15,0.09789574891328812
1538542472.5738688,16,0.09782405942678452
1538542480.7959733,17,0.0976685956120491
1538542489.1031888,18,0.09762441366910934
1538542497.4812672,19,0.09754278510808945
1538542505.7651284,20,0.0976678803563118
1538542513.932973,21,0.09751182794570923
1538542522.2072587,22,0.09742040187120438
1538542530.464957,23,0.09727052599191666
1538542538.6828442,24,0.0973813533782959
1538542547.056142,25,0.09705875813961029
1538542555.347268,26,0.09680641442537308
1538542563.5394719,27,0.09685225784778595
1538542571.8588867,28,0.09686504304409027
1538542580.1064808,29,0.09690436720848083
1538542588.4009018,30,0.09663510322570801
1538542596.635151,31,0.09648989886045456
1538542605.1485457,32,0.09643927961587906
1538542613.4770384,33,0.09630663692951202
1538542621.8584096,34,0.09615364670753479
1538542630.0586648,35,0.0961628332734108
1538542638.3557487,36,0.09615489095449448
1538542646.7033997,37,0.09607385098934174
1538542655.0086894,38,0.0959952175617218
1538542663.3741174,39,0.09602043777704239
1538542671.6032958,40,0.09601116180419922
1538542679.874874,41,0.09584399312734604
1538542688.1843603,42,0.09571801871061325
1538542696.495446,43,0.09561529755592346
1538542704.6760368,44,0.09559432417154312
1538542713.0396268,45,0.0956704244017601
1538542721.269371,46,0.09563561528921127
1538542729.4736671,47,0.09544893354177475
1538542737.7593856,48,0.09544798731803894
1538542746.072782,49,0.09544673562049866
1538542754.4802842,50,0.09541437774896622
1538542762.7574134,51,0.09535868465900421
1538542771.1064649,52,0.09523162245750427
1538542779.3988657,53,0.09537721425294876
1538542787.6627932,54,0.09524664282798767
1538542796.0785117,55,0.09513158351182938
1538542804.2904465,56,0.09505877643823624
1538542812.514198,57,0.09471753984689713
1538542820.9364786,58,0.09476258605718613
1538542829.3014534,59,0.09487506002187729
1538542837.6828058,60,0.09461673349142075
1538542846.0251184,61,0.09442677348852158
1538542854.4146013,62,0.09443214535713196
1538542862.8814795,63,0.09443622082471848
1538542871.3067737,64,0.09436153620481491
1538542879.7511473,65,0.09442190080881119
1538542888.1464705,66,0.09436880797147751
1538542896.6560526,67,0.09446125477552414
1538542905.412615,68,0.09432731568813324
1538542914.0007179,69,0.09435133635997772
1538542922.4825342,70,0.09425073117017746
1538542930.7904773,71,0.09423650056123734
1538542939.4063814,72,0.09440253674983978
1538542947.7620296,73,0.09422388672828674
1538542956.1375942,74,0.09417155385017395
1538542964.542613,75,0.0939626470208168
1538542972.8607585,76,0.09407058358192444
1538542981.3241243,77,0.09388353675603867
1538542989.6238532,78,0.09395945817232132
1538542997.8587012,79,0.09385020285844803
1538543006.2170804,80,0.09395302832126617
1538543014.5912635,81,0.09387075155973434
1538543022.9448516,82,0.09369707852602005
1538543031.3946998,83,0.0935455933213234
1538543039.657456,84,0.09344702959060669
1538543047.95937,85,0.09342974424362183
1538543056.3061938,86,0.09365144371986389
1538543064.6992724,87,0.09356484562158585
1538543073.1419125,88,0.09349921345710754
1538543081.49898,89,0.09335581213235855
1538543089.8760204,90,0.09335093945264816
1538543098.3290637,91,0.09326770156621933
1538543106.766143,92,0.09336567670106888
1538543115.3911185,93,0.09313848614692688
1538543123.9426293,94,0.09327205270528793
1538543132.4669452,95,0.09341631829738617
1538543141.013749,96,0.09328243881464005
1538543149.5593688,97,0.09313000738620758
1538543158.0794137,98,0.09302887320518494
1538543166.8055704,99,0.09320252388715744
